match_id,route_group,phase,dx,dy,distance,angle,shrink_ratio
010d4c7a-3add-455d-9514-1076dbab467f,southeast_to_northwest_military,6,1890.125,3303.6875,3806.1691519533456,60.22501100081721,0.5
011290e6-79f9-42c2-8ee2-6e1171390092,west_to_east_georgopol,1,7875.4375,1162.359375,7960.753427475105,8.395841478634399,0.55
011290e6-79f9-42c2-8ee2-6e1171390092,west_to_east_georgopol,2,-6754.6875,-6156.078125,9139.097389992065,-137.65462533090425,0.600000013946556
011290e6-79f9-42c2-8ee2-6e1171390092,west_to_east_georgopol,3,6237.9375,-5685.65625,8440.29331522728,-42.34804914167236,0.5500000290553242
011290e6-79f9-42c2-8ee2-6e1171390092,west_to_east_georgopol,4,2157.1875,16264.375,16406.808100626436,82.44480401244215,0.5
0124aa5d-94a3-43dc-9beb-83cd4ca30fdf,east_to_west_yasnaya,1,-34553.546875,-74152.09375,81807.58283406014,-114.98467559610548,0.55
0124aa5d-94a3-43dc-9beb-83cd4ca30fdf,east_to_west_yasnaya,2,26022.09375,-20677.53125,33237.17289013185,-38.47116071197515,0.600000013946556
0124aa5d-94a3-43dc-9beb-83cd4ca30fdf,east_to_west_yasnaya,3,13260.6875,14327.5625,19522.4199361673,47.214601889959795,0.5500000290553242
0124aa5d-94a3-43dc-9beb-83cd4ca30fdf,east_to_west_yasnaya,4,-8615.09375,-2409.09375,8945.589584682393,-164.37707388486288,0.5
0124aa5d-94a3-43dc-9beb-83cd4ca30fdf,east_to_west_yasnaya,5,1448.703125,-7182.71875,7327.358963909597,-78.59683446586524,0.5
0124aa5d-94a3-43dc-9beb-83cd4ca30fdf,east_to_west_yasnaya,6,3071.90625,1921.15625,3623.182212600289,32.02167421282423,0.5
0195953b-eb83-49e4-b29e-3708ef83590d,west_to_east_georgopol,1,14741.78125,25808.5,29722.02527878697,60.26504900741806,0.55
0195953b-eb83-49e4-b29e-3708ef83590d,west_to_east_georgopol,2,38698.3125,2071.0625,38753.692601177536,3.0634421915646395,0.600000013946556
0195953b-eb83-49e4-b29e-3708ef83590d,west_to_east_georgopol,3,9455.265625,-5704.625,11042.861695680682,-31.10375018305623,0.5500000290553242
0195953b-eb83-49e4-b29e-3708ef83590d,west_to_east_georgopol,4,-10299.125,2705.59375,10648.577994533545,165.2809053371853,0.5
0195953b-eb83-49e4-b29e-3708ef83590d,west_to_east_georgopol,5,1488.046875,1715.40625,2270.881349770685,49.059658512303685,0.5
